Codigo contable;Nombre cuenta;Saldo inicial;Movimiento debito;Movimiento credito;Saldo final;Corriente;No corriente
100000;ACTIVOS;198.472.928.772.679,00;32.865.681.428.851,10;30.159.765.642.864,00;201.178.844.558.666,00;12.254.175.991.307,80;188.924.668.567.358,00
110000;EFECTIVO Y EQUIVALENTES AL EFECTIVO;3.833.111.737.491,95;19.058.000.172.460,70;18.680.151.867.616,00;4.210.960.042.336,65;4.210.960.042.336,65;0
110500;CAJA;0;228.928.742.159,00;228.532.053.861,00;396.688.298,00;396.688.298,00;0
110501;Caja principal;0;228.530.676.232,00;228.530.676.232,00;0;0;0
110502;Caja menor;0;398.065.927,00;1.377.629,00;396.688.298,00;396.688.298,00;0
111000;DEPÓSITOS EN INSTITUCIONES FINANCIERAS;3.577.685.179.213,95;15.607.883.475.033,70;15.176.272.653.067,00;4.009.296.001.180,65;4.009.296.001.180,65;0
111005;Cuenta corriente;22.038.261.893,29;3.380.474.114.826,88;3.381.495.151.547,33;21.017.225.172,84;21.017.225.172,84;0
111006;Cuenta de ahorro;3.545.716.672.794,71;11.263.592.663.444,60;10.834.947.915.457,00;3.974.361.420.782,32;3.974.361.420.782,32;0
111011;Depósitos en el exterior;2.624.188.338,07;21.849.263.419,55;18.448.047.545,01;6.025.404.212,61;6.025.404.212,61;0
111013;Depósitos para fondos de solidaridad y redistribución del ingreso;7.306.056.187,88;9.781.007.611,00;9.195.112.786,00;7.891.951.012,88;7.891.951.012,88;0
111090;Otros depósitos en instituciones financieras;0;932.186.425.731,65;932.186.425.731,65;0;0;0
112000;FONDOS EN TRÁNSITO;26.834.404.343,00;3.165.445.805.971,00;3.037.205.080.314,00;155.075.130.000,00;155.075.130.000,00;0
112010;Red bancaria;26.834.404.343,00;3.165.445.805.971,00;3.037.205.080.314,00;155.075.130.000,00;155.075.130.000,00;0
113200;EFECTIVO DE USO RESTRINGIDO;9.823.941.354,00;46.550.733.509,00;10.874.066.281,00;45.500.608.582,00;45.500.608.582,00;0
113210;Depósitos en Instituciones Financieras;9.823.941.354,00;46.550.733.509,00;10.874.066.281,00;45.500.608.582,00;45.500.608.582,00;0
113300;EQUIVALENTES AL EFECTIVO;218.768.212.581,00;9.191.415.788,00;227.268.014.093,00;691.614.276,00;691.614.276,00;0
113301;Certificados de Depósito a término;631.355.452,00;60.258.824,00;0;691.614.276,00;691.614.276,00;0
113307;Bonos y títulos;218.136.857.129,00;9.131.156.964,00;227.268.014.093,00;0;0;0
120000;INVERSIONES E INSTRUMENTOS DERIVADOS;13.041.791.221.335,20;2.674.724.663.835,34;2.359.918.641.075,28;13.356.597.244.095,30;1.067.033.134.906,00;12.289.564.109.189,30
122100;INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ A VALOR DE MERCADO (VALOR RAZONABLE) CON CAMBIOS EN EL RESULTADO;750.253.751.904,00;680.866.004.214,00;364.086.621.212,00;1.067.033.134.906,00;1.067.033.134.906,00;0
122102;Certificados de depósito a término (CDT);750.253.751.904,00;680.866.004.214,00;364.086.621.212,00;1.067.033.134.906,00;1.067.033.134.906,00;0
122200;INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ A VALOR DE MERCADO (VALOR RAZONABLE) CON CAMBIOS EN EL PATRIMONIO (OTRO RESULTADO INTEGRAL);23.074.766,00;327.484,00;1.419.076,00;21.983.174,00;0;21.983.174,00
122202;Instrumentos de patrimonio - Empresas privadas;23.074.766,00;327.484,00;1.419.076,00;21.983.174,00;0;21.983.174,00
122400;INVERSIONES DE ADMINISTRACIÓN DE LIQUIDEZ AL COSTO;69.138.053,41;0;0;69.138.053,41;0;69.138.053,41
122413;Acciones ordinarias;69.138.053,41;0;0;69.138.053,41;0;69.138.053,41
122700;INVERSIONES EN CONTROLADAS CONTABILIZADAS POR EL MÉTODO DE PARTICIPACIÓN PATRIMONIAL;12.291.445.256.611,80;1.993.858.332.137,34;1.995.830.600.787,28;12.289.472.987.961,90;0;12.289.472.987.961,90
122703;Empresas industriales y comerciales del Estado - Societarias;1.726.839.527.714,87;125.873.047.398,41;1.852.712.575.113,28;0;0;0
122704;Sociedades de economía mixta;10.546.711.209.756,00;136.010.502.618,00;143.118.025.674,00;10.539.603.686.700,00;0;10.539.603.686.700,00
122705;Empresas públicas societarias;17.894.519.141,00;1.731.974.782.120,93;0;1.749.869.301.261,93;0;1.749.869.301.261,93
130000;CUENTAS POR COBRAR;3.220.375.235.367,08;7.196.255.563.751,05;6.338.195.840.363,78;4.078.434.958.754,35;3.542.521.438.465,80;535.913.520.288,55
130500;IMPUESTOS, RETENCIÓN EN LA FUENTE Y ANTICIPOS DE IMPUESTOS;874.006.695.556,00;4.711.973.882.789,33;4.811.292.842.965,33;774.687.735.380,00;774.687.735.380,00;0
130502;Impuesto de registro;0;46.425.847.400,00;46.425.847.400,00;0;0;0
130505;Retenciones en la fuente;1.686.235.000,00;707.375.821.000,00;558.657.771.000,00;150.404.285.000,00;150.404.285.000,00;0
130507;Impuesto predial unificado;532.189.073.087,00;717.140.865.902,00;1.245.679.184.989,00;3.650.754.000,00;3.650.754.000,00;0
130508;Impuesto de industria y comercio;143.822.833.840,00;2.810.151.175.964,00;2.365.005.188.755,00;588.968.821.049,00;588.968.821.049,00;0
130519;Impuesto de delineación urbana, estudios y aprobación de planos;24.045.067.000,00;3.011.828.000,00;27.052.713.000,00;4.182.000,00;4.182.000,00;0
130522;Impuesto al consumo de  tabaco y cigarrillos;40.976.413.944,00;112.814.221.068,00;123.045.794.465,00;30.744.840.547,00;30.744.840.547,00;0
130524;Impuesto al consumo de cerveza;2.230.295.685,00;94.856.805.333,00;96.780.803.954,00;306.297.064,00;306.297.064,00;0
130533;Impuesto sobre vehículos automotores;128.969.784.000,00;108.992.818.707,33;237.354.046.987,33;608.555.720,00;608.555.720,00;0
130535;Sobretasa a la gasolina;32.488.000,00;98.505.856.000,00;98.538.344.000,00;0;0;0
130536;Sobretasa al ACPM;0;7.237.479.385,00;7.237.479.385,00;0;0;0
130553;Impuesto unificado de azar y espectáculos;54.505.000,00;4.562.984.000,00;4.617.489.000,00;0;0;0
130558;Impuesto a publicidad exterior visual;0;898.180.030,00;898.180.030,00;0;0;0
131100;CONTRIBUCIONES, TASAS E INGRESOS NO TRIBUTARIOS;1.263.295.051.136,40;400.174.724.485,00;575.856.665.346,40;1.087.613.110.275,00;1.034.851.689.813,00;52.761.420.462,00
131101;Tasas;4.311.376.487,00;17.316.605.125,00;15.190.131.066,00;6.437.850.546,00;6.434.198.818,00;3.651.728,00
131102;Multas;720.732.428.670,40;107.872.848.000,00;100.061.814.404,40;728.543.462.266,00;675.788.276.166,00;52.755.186.100,00
131103;Intereses;35.291.656,00;23.993.123.224,00;23.990.684.524,00;37.730.356,00;37.450.085,00;280.271,00
131104;Sanciones;245.085.372.630,00;69.803.120.140,00;275.352.306.546,00;39.536.186.224,00;39.533.907.788,00;2.278.436,00
131107;Inscripciones;0;324.928.300,00;324.928.300,00;0;0;0
131112;Participación en el transporte por oleoductos;0;4.482.155,00;4.482.155,00;0;0;0
131113;Estampillas;0;30.118.561.798,00;30.118.561.798,00;0;0;0
131118;Licencias;66.892.703,00;3.148.267.797,00;3.145.203.953,00;69.956.547,00;69.932.620,00;23.927,00
131127;Contribuciones;363.639.100,00;98.119.363.637,00;98.319.387.737,00;163.615.000,00;163.615.000,00;0
131138;Renta del monopolio de juegos de suerte y azar;0;6.619.307.223,00;6.619.307.223,00;0;0;0
131145;Derechos de explotacion no relacionados con al infraestructura de transporte;2.856.861.364,00;14.347.293.163,00;14.273.368.966,00;2.930.785.561,00;2.930.785.561,00;0
131190;Otras contribuciones, tasas e ingresos no tributarios;289.843.188.526,00;28.506.823.923,00;8.456.488.674,00;309.893.523.775,00;309.893.523.775,00;0
133700;TRANSFERENCIAS POR COBRAR;700.138.444.750,77;719.827.198.238,00;726.093.921.946,59;693.871.721.042,18;693.871.721.042,18;0
133702;Sistema General de Regalías;635.250.784.743,18;35.644.611.198,00;20.219.625.556,00;650.675.770.385,18;650.675.770.385,18;0
133704;Sistema General de Participaciones - Participación para educación;0;539.613.794.882,00;539.613.794.882,00;0;0;0
133705;Sistema General de Participaciones - Participación para propósito general;17.722.689.840,00;71.121.421.011,00;67.596.451.080,00;21.247.659.771,00;21.247.659.771,00;0
133706;Sistema General de Participaciones - Participación para pensiones - Fondo Nacional de Pensiones de las Entidades Territoriales;0;9.668.153.213,00;0;9.668.153.213,00;9.668.153.213,00;0
133707;Sistema General de Participaciones - Programas de alimentación escolar;553.042.327,00;1.875.596.682,00;1.803.440.115,00;625.198.894,00;625.198.894,00;0
